pais,semana,titulo,titulo_original,ano_lancamento,duracao_filme,generos,faixa_tempo
Brazil,2024-02-04,Orion and the Dark,Orion and the Dark,2024,93,"Adventure,Animation,Comedy",Filmes Médios
Brazil,2024-02-04,The Greatest Night in Pop,The Greatest Night in Pop,2024,96,"Documentary,Music",Filmes Médios
Brazil,2024-02-04,Minions,Minions,2015,91,"Adventure,Animation,Comedy",Filmes Médios
Brazil,2024-02-04,Despicable Me 3,Despicable Me 3,2017,89,"Adventure,Animation,Comedy",Filmes Médios
Brazil,2024-01-28,Deepwater Horizon,Deepwater Horizon,2016,107,"Action,Drama,History",Filmes Longos
Brazil,2024-01-28,The Favourite,The Favourite,2018,119,"Biography,Comedy,Drama",Filmes Longos
Brazil,2024-01-21,The Forever Purge,The Forever Purge,2021,103,"Action,Crime,Horror",Filmes Longos
Brazil,2024-01-14,Transporter 2,Transporter 2,2005,87,"Action,Crime,Thriller",Filmes Médios
Brazil,2024-01-14,Good Burger,Good Burger,1997,95,"Comedy,Family",Filmes Médios
Brazil,2024-01-14,CJ7,Cheung gong 7 hou,2008,88,"Adventure,Comedy,Drama",Filmes Médios
Brazil,2024-01-14,Hancock,Hancock,2008,92,"Action,Comedy,Drama",Filmes Médios
Brazil,2023-12-24,The Marine,The Marine,2006,92,"Action,Comedy,Drama",Filmes Médios
Brazil,2023-12-24,Gone Baby Gone,Gone Baby Gone,2007,114,"Crime,Drama,Mystery",Filmes Longos
Brazil,2023-12-24,Chicken Run,Chicken Run,2000,84,"Adventure,Animation,Comedy",Filmes Médios
Brazil,2023-12-24,Good Will Hunting,Good Will Hunting,1997,126,"Drama,Romance",Filmes Longos
Brazil,2023-12-17,Old,Old,2021,108,"Drama,Horror,Mystery",Filmes Longos
Brazil,2023-12-17,Underwater,Underwater,2020,95,"Action,Horror,Sci-Fi",Filmes Médios
Brazil,2023-12-10,The Fate of the Furious,The Fate of the Furious,2017,136,"Action,Crime,Thriller",Filmes Longos
Brazil,2023-12-10,2 Fast 2 Furious,2 Fast 2 Furious,2003,107,"Action,Crime,Thriller",Filmes Longos
Brazil,2023-12-10,Fast Five,Fast Five,2011,130,"Action,Crime,Thriller",Filmes Longos
Brazil,2023-12-03,Luccas Neto em: Uma Aventura no Zoológico,Luccas Neto em: Uma Aventura no Zoológico,2023,83,"Adventure,Comedy",Filmes Médios
Brazil,2023-12-03,Wedding Games,União Instável,2023,79,"Comedy,Romance",Filmes Médios
Brazil,2023-11-26,See You on Venus,See You on Venus,2023,94,"Drama,Romance",Filmes Médios
Brazil,2023-11-26,Believer 2,Dokjeon 2,2023,114,"Action,Crime,Thriller",Filmes Longos
Brazil,2023-11-26,All-Time High,Nouveaux riches,2023,101,Comedy,Filmes Longos
Brazil,2023-11-12,The Claus Family 3,De Familie Claus 3,2022,73,"Comedy,Family,Fantasy",Filmes Médios
Brazil,2023-11-05,Herself,Herself,2020,97,Drama,Filmes Médios
Brazil,2023-10-29,Sister Death,Hermana muerte,2023,91,"Horror,Mystery",Filmes Médios
Brazil,2023-10-29,Alvin and the Chipmunks: The Squeakquel,Alvin and the Chipmunks: The Squeakquel,2009,88,"Adventure,Comedy,Family",Filmes Médios
Brazil,2023-10-29,Spirit Untamed,Spirit Untamed,2021,88,"Adventure,Animation,Comedy",Filmes Médios
Brazil,2023-10-15,Tyson's Run,Tyson's Run,2022,103,Drama,Filmes Longos
Brazil,2023-10-08,Life of a King,Life of a King,2013,100,Drama,Filmes Longos
Brazil,2023-10-01,Overhaul,Carga Máxima,2023,107,"Action,Crime,Drama",Filmes Longos
Brazil,2023-09-24,Promising Young Woman,Promising Young Woman,2020,113,"Crime,Drama,Mystery",Filmes Longos
Brazil,2023-09-24,Boss Level,Boss Level,2020,100,"Action,Adventure,Comedy",Filmes Longos
Brazil,2023-09-24,Jaane Jaan,Jaane Jaan,2023,139,"Crime,Drama,Mystery",Filmes Longos
Brazil,2023-09-17,Fifty Shades Freed,Fifty Shades Freed,2018,105,"Drama,Mystery,Romance",Filmes Longos
Brazil,2023-09-17,Ehrengard: The Art of Seduction,Ehrengard: The Art of Seduction,2023,94,"Comedy,Drama,Romance",Filmes Médios
Brazil,2023-09-17,Come Play,Come Play,2020,96,"Drama,Horror,Mystery",Filmes Médios
Brazil,2023-09-10,Maximum Risk,Maximum Risk,1996,101,"Action,Crime,Thriller",Filmes Longos
